kind,sample,x,y,value
sample,0,0.315789,0.631579,0.070937
sample,0,0.368421,0.631579,-0.024832
sample,0,0.421053,0.631579,0.279831
sample,0,0.473684,0.631579,0.384544
sample,0,0.526316,0.631579,0.161814
sample,0,0.578947,0.631579,-0.465720
sample,0,0.631579,0.631579,0.363184
sample,0,0.684211,0.631579,-0.038667
sample,0,0.736842,0.631579,0.174913
sample,0,0.789474,0.631579,0.205554
sample,0,0.842105,0.631579,-0.704651
sample,0,0.894737,0.631579,-0.412777
sample,0,0.947368,0.631579,-0.770478
sample,0,1.000000,0.631579,-0.542794
sample,0,0.000000,0.684211,-0.134222
sample,0,0.052632,0.684211,-0.034055
sample,0,0.105263,0.684211,-0.195091
sample,0,0.157895,0.684211,-0.311020
sample,0,0.210526,0.684211,-0.412840
sample,0,0.263158,0.684211,-0.041138
sample,0,0.315789,0.684211,0.524502
sample,0,0.368421,0.684211,0.326225
sample,0,0.421053,0.684211,0.280085
sample,0,0.473684,0.684211,0.286594
sample,0,0.526316,0.684211,0.194393
sample,0,0.578947,0.684211,0.140681
sample,0,0.631579,0.684211,0.720353
sample,0,0.684211,0.684211,0.235464
sample,0,0.736842,0.684211,-0.128379
sample,0,0.789474,0.684211,-0.177979
sample,0,0.842105,0.684211,-0.451725
sample,0,0.894737,0.684211,-0.139991
sample,0,0.947368,0.684211,-0.440910
sample,0,1.000000,0.684211,-0.933065
sample,0,0.000000,0.736842,-0.301236
sample,0,0.052632,0.736842,0.064382
sample,0,0.105263,0.736842,-0.062932
sample,0,0.157895,0.736842,-0.039437
sample,0,0.210526,0.736842,0.235474
sample,0,0.263158,0.736842,0.379429
sample,0,0.315789,0.736842,0.816931
sample,0,0.368421,0.736842,0.107504
